"fmisid","region","iso2","name","latitude","longitude"
107026,"Siilinjärvi","FI","Siilinjärvi Kuuslahti",63.1272316,27.7717800
104099,"Siilinjärvi","FI","Siilinjärvi Pahkamäki",63.1752701,27.7710991
107542,"Siilinjärvi","FI","Siilinjärvi Ranta",63.1113396,27.7601891
104017,"Siilinjärvi","FI","Siilinjärvi Sorakuja",63.0723991,27.6611500
107268,"Siilinjärvi","FI","Siilinjärvi Sulkavanniitty",63.0879593,27.6863594
104044,"Siilinjärvi","FI","Siilinjärvi Vuorela",62.9847717,27.6903191
107135,"Siilinjärvi","FI","Siilinjärvi Vuorelantie",62.9752884,27.7019997
104309,"Sipoo","FI","Sipoo Löparö",60.2385712,25.4440899
103999,"Sipoo","FI","Sipoo Löparö 2",60.2376404,25.4417801
107992,"Sotkamo","FI","Sotkamo Terrafame Taattola",64.0021515,28.1077404
104327,"Äänekoski","FI","Suolahti",62.5656700,25.8523693
104014,"Suomussalmi","FI","Suomussalmi Kuivajärvi",64.6426086,30.0666904
103096,"Tampere","FI","Tampere Epila 2",61.5085411,23.6758308
103097,"Tampere","FI","Tampere Kaleva",61.4990997,23.8022099
104228,"Tampere","FI","Tampere, keskustori",61.4975395,23.7621307
104001,"Tampere","FI","Tampere Koskikatu",61.4984398,23.7649498
104283,"Tampere","FI","Tampere Lielahti, Isoniemenkatu",61.5283394,23.6850300
103098,"Tampere","FI","Tampere Linja-autoasema",61.4930687,23.7693806
104003,"Tampere","FI","Tampere Linnainmaa",61.4916000,23.8813896
104034,"Tampere","FI","Tampere Lintulampi",61.5220909,23.6662407
104297,"Tampere","FI","Tampere Messukylä",61.4843788,23.8481903
104040,"Tampere","FI","Tampere Niemi",61.5223312,23.6871300
103099,"Tampere","FI","Tampere Pirkankatu",61.4987297,23.7356892
104285,"Tampere","FI","Tampere Raatihuone",61.4978905,23.7596798
104107,"Tampere","FI","Tampere Santalahti",61.5053596,23.7162399
104027,"Tampere","FI","Tampere Veisu",61.4719315,23.8002205
107142,"Tornio","FI","Tornio Keskusta",65.8429565,24.1474895
107141,"Tornio","FI","Näätsaari",65.8160629,24.1637192
